    0.00      0.00      1.08      1.10   1094.16   1085.57
   21.27     22.68      1.09      1.13   1094.36   1084.79
   57.56     62.38      1.09      1.18   1094.46   1082.82
   96.41    107.75      1.09      1.24   1095.25   1081.64
  136.39    146.88      1.10      1.30   1094.66   1079.08
  175.80    216.07      1.10      1.36   1095.05   1077.31
  187.15    236.48      1.09      1.37   1094.95   1076.23
  233.36    286.67      1.17      1.44   1093.28   1076.13
  259.45    307.09      1.22      1.46   1090.03   1074.75
  287.24    326.65      1.30      1.48   1087.08   1073.77
  343.38    362.38      1.41      1.51   1082.36   1072.39
  426.18    406.05      1.61      1.56   1075.67   1072.00
  482.04    448.02      1.58      1.48   1070.46   1068.85
  491.12    491.12      1.33      1.34   1073.31   1071.80
  497.35    523.16      1.07      1.14   1082.26   1081.64
  496.79    533.93      0.93      1.01   1083.84   1083.80
  496.22    543.86      0.80      0.89   1084.13   1080.16
